sentiments,corrected_review,corrected_review_length,review_score
positive,i wish would have gotten one earlier love it and it makes working in my lawton so much easier,19,5.0
neutral,i ve learned this lesson again open the package and use the product right away ordered this mouse in august as my travel mouse and just packed it away in my bag now ve been visiting family in the pew since mid september the mouse took charge and worked fine for couple of weeks after charged the mouse it worked for day or two and then ceased to function the optical light will flash once when turned on then nothing of course the return window is well past ,88,1.0
neutral,it is so slow and laws find better option,9,2.0
neutral,roller ball stopped working within months of minimal use piece of june ,12,1.0
neutral,i like the color and size but it few days out of the return period and it will not hold charge,21,1.0
positive,overall love this mouse the size weight clinking is all fabulous however ve had two of these now and the middle strolled has random fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle strolled lot do not recommend purchase if you don use that feature then it great mouse ,68,3.0
neutral,it stopped working,3,1.0
positive,my son uses school issued chromebook for school work and rates using the touch pad to navigable the mouse so we looked into tireless mouse and found this one had so many good reviews unfortunately the strolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bounding back as undeliverable am sure this has been great product for many and we likely got the did so am not telling anyone not to buy it but am sharing our experience for others to consider ,170,1.0
negative,loved this cut little mouse but it broke after months the wheel broke off from the gear ,17,1.0
negative,should ve spent the money to get quality product this thing stopped working after about week worthless,17,1.0
neutral,beautifully produced and lovely to look at for mouse the lights are welcome addition to an otherwise drab workplace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the curses freeze in position until the mouse fully comes back to life it frustration for anyone who isn patient ,63,3.0
negative,first one broke in week they sent replacement and returned broken one and it still hasn processes return now new one broke weeks later would not recommend this mouse,29,2.0
negative,i don typically write reviews but keep having this issue with teach products from amazon the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very itchy and laws across the screen ,44,1.0
neutral,i liked the tireless mouse however after months the roller on the mouse stopped working which leaves me not being able to stroll up or down on my pp ll have to look into buying more sturdy mouse ,38,1.0
neutral,the wheel from the mouse not working anymore it only lasted for about months really nice mouse but doesn last ,20,3.0
negative,nothing but issues the stroll wheel broke for no reason at all no longer holds charge would not recommend ,19,1.0
neutral,wouldn recommend have been trying to charge it for days ,10,1.0
neutral,i bought this in late june it looks cool with the lights and all it doesn give warning that the battery is low just stops working now it is doing all kinds of weird stuff clinking on items that you didn etc too late to return oh well not recommended ,50,1.0
neutral,after few weeks the stroll wheel stopped working returning it ,10,2.0
neutral,this is the second time have ordered this mouse actually really like the mouse except for the fact that they keep breaking and have to order new one so for that reason am only going to give you two stars ordered this particular mouse only two months ago and it already broken should get my money back ,57,2.0
positive,excellent for price ,3,5.0
negative,disappointed in this mouse the wheel broke after months ,9,1.0
neutral,it felt like it would break easily and the texture of the mouse would get dirty quickly ,17,3.0
neutral,bought this mouse on december its october and no matter how long charge it the only thing it does is blink the red light once and die don recommend this at all ,32,1.0
neutral,it works ok nothing spectacular if you re game or use the mouse quite bit you have to charge it about once day or it starts lagging and causes things to crash or freeze up due to the law ,39,3.0
negative,unfortunately this mouse stopped working after month of use can replace the item or get refund ,16,1.0
negative,i had no issues with the mouse but dropped it from not even ft from the ground on accident of course and the spin wheel and the left clicked broke ve ordered another one and hope it lasts longer than this one did ,43,4.0
neutral,bought months ago now have to charge it every other day ,11,2.0
positive,like design not function frustration,5,2.0
neutral,we tried several different ways to charge it and it would not hold charge over minutes ,16,1.0
negative,i bought this mouse to go with my work lawton when have to travel to sites hate using the pad that is built into the lawton this is cut and little am thinking about using it for my personal lawton when gazing or doing school work ,46,5.0
positive,got two of these with colors that matched out tablets easy to transport and just right feel in my hand so far they work perfectly and at what would consider great price ,32,5.0
neutral,the mouse wheel broke and just spine now used this for my work lawton and loved it but if this is the quality it is will not buy another,29,2.0
neutral,i liked this product until is stopped working months later ,10,2.0
positive,i ve actually purchased two of these and both broke in the same way the strolled do not recommend if you need them for any kind of gazing that requires the strolled need to use it for camera angles in game and without it gameplay is awful won be buying third one but if that not donna be problem for you then these will probably be great they hold charge well and the light show they put on is really cool ,81,2.0
neutral,easy to use,3,5.0
positive, it an excellent product if you re looking for tireless mouse good price and with high load disability that correct use it for work in arctic excellent service,28,5.0
neutral,as lot of other reviews said the stroll wheel broke have had different us mouse for years without this problem ll be going back to it the battery life is also very short constantly having to charge it ,38,2.0
negative,first time that need to change the battery and it doesn work anymore no dura ni mess ,17,3.0
neutral,quit working after months can get it to work anymore charging port is missed up have plugged it once ,19,2.0
neutral,repeatedly and without proper sanctioning my mouse turned on for second then turned right back off again after being plugged into the lawton overnight searched for power issue reviews and found am not the only one cannot recommend this product and feel it should be taken down due to this ,50,1.0
neutral,stopped working month after received this,6,1.0
neutral,didn work would not charge,5,1.0
neutral,this is exactly what needed my favorite features are the quite click and the led lights ,16,5.0
neutral,i got this less and two months ago and loved it until today when it broke when touched the wheel ,20,2.0
neutral,it was cut and worked super well while it lasted but about weeks into using it it just stops doesn hold charge doesn stay on of course it lasts beyond when you can return it so just don take the chance ,41,1.0
neutral,it already doesn work,4,1.0
neutral,i have had this few months and loved it but now the roller to stroll is not working ,18,3.0
neutral,haven had it long us adapted is already broken so my mouse is currently unable on my malbrook mouse is decent but seems to not hold charge very long when was using it ,33,2.0
positive,i purchased this mouse back in june of this year it is now october the battery life is so powerful the color changing is the best experience could have ha with mouse can believe how happy am with this purchase ,40,5.0
negative,the center stroll wheel broke in weeks for no reason mouse was not dropped and barely used garage so you get what you pay for ,25,1.0
neutral,charged all night and only last few minutes this mouse has pretty design but it too thin to hold just asked for refund but not replaced ,26,2.0
neutral,this worked for few months had to charge it overnight week as work from home and used this mouse for my work lawton after several months it stopped holding charge and would have to be charged daily now it won charge or work super annoying because really need mouse and now have to order another one had hoped this would last lot longer than months but now putting plastic into the landfill and it sucks ,75,1.0
neutral,you could think it decent mouse for the price you paid but in reality it is an uncomfortable mouse and barely works the only good thing about this mouse is that it comes with us to us adapted which comes in handy ,42,1.0
neutral,a very reasonably prices careless rechargeable mouse with button control with stroll wheel which is my preference rather than the macbookair track pad or the mac mouse for the desktop mac ,31,5.0
neutral,i would buy it against it pretty not really being just sleek ,12,5.0
neutral,it has soft touch,4,1.0
neutral,the stroll feature on the mouse broke weeks after the return period otherwise like it ,15,5.0
positive,its nice mouse but not sure if its good for gazing ,11,1.0
neutral,cool and easy to use at first but broke with in few weeks of use ,15,1.0
neutral,this product simply doesn work the charge connection port is misshapen ,11,1.0
negative,i hated this item they described how easy it was to use and received mine and it does not connect after doing my research on it its suppose to be compatible with my lawton and its not so now have to order different one in very disappointed in this product ,50,1.0
negative,feels very cheap wouldn charge on my lawton had to plug it in on my desktop to charge it finally got it charged just for it to die after hours of non continuous use it getting returned ,37,4.0
positive,my first one had about weeks and the wheel broke loose and it would not work received replacement in two days and it perfect can blame them for manufacturing issue love my pink mouse highly recommend it use it hours day days week ,43,5.0
neutral,it works well it does what purchased it for ,9,2.0
negative,stroll interior post broke causing the mouse to no longer work bought in jan broke oct otherwise nice sanctioning overall,20,1.0
positive,i purchased this mouse as the wheel on my old one quit working loved the design and wanted another so ordered it and received it aug it is oct and the wheel just quick working again would recommend looking at different mouse if you prefer your strolling feature ,48,1.0
negative,this item is poorly made battery died within minutes after full charge hours it was returned the same day it was delivered ,22,1.0
neutral,mouse worked fine for months charged it every week or so then wouldn charge via us not good option for those who need something reliable ,25,1.0
positive,received product on the th charged it and started using it the charge didn last that long maybe day at most but today it doesn work at all glad kept my old battery one ,34,1.0
neutral,this mouse was great up until today when the stroll finger pad completely broke the stroll function is loose and now wont work at all ,25,2.0
neutral,i ve had this for month and half it stopped working ve tried charging repeatedly and it does nothing ,19,2.0
neutral,this worked great for months then one day just stopped working ,11,2.0
neutral,worked well for the first few weeks then broke right after return window closed ,14,3.0
neutral,it was ok for cheap mouse it started lagging after few months and eventually quit working over all,18,1.0
neutral,broke in less than months strolling won workwouldn recommendquit right outside the return window,14,1.0
positive,economic and fits my hand well pretty when charged mine doesn hold charge well it only lasts couple hours at most ,21,5.0
positive,certainly helps to look at instructions pictures and to try to translate what the instructions mean,16,1.0
neutral,the little wheel broke within the nd day,8,5.0
neutral,perform as expected,3,3.0
neutral,mouse seems to work ok looks nice easy install etc biggest complaint is the time out and wake up feature every time go to use the pp it asleep then have to either click button which may may not cause an action on the pp or pick it up and down several times too annoying so stopped using it might keep it aside for use with my lawton when traveling definitely not for daily use ,75,4.0
neutral,not bad would rather have purchased apple,7,2.0
neutral,the box came absolutely smashed and the mouse doesn work with the us adapted that included with it ,18,5.0
neutral,broke within week ,3,2.0
positive,this is slim quiet and absolutely love the changing of colors best mouse ve had ,15,5.0
neutral,this worked great at first but have to keep it on power or it will only last about hours after about months ,22,5.0
positive,i bought this mouse to match the keyboard bought for my daughter to use with her lawton she does online school and likes having mouse as well as keyboard she likes that they match and both light up didn know how it would be for gazing ,46,1.0
positive,very easy to use and sleek design it is small enough to fit easily into my computer bag when have to take it with me ,25,5.0
neutral,good feel and economics but stroll wheel broke at six weeks design plastic quality selection does not live up to common everyday use ,23,2.0
positive,this is nice little mouse very quiet clinking and get lots of compliments on the changing color lights ,18,5.0
neutral,did not work with intended lawton,6,5.0
positive,sleek economic feel quiet clicked easy to charge us easy to install would definitely recommend for the price ,18,5.0
positive,i just purchased this mouse to use with my new lawton and am impressed with the quickness of the buttons and it has helped me win on my games,29,1.0
positive,love the clickity click of the mouse got it for my daughter for online school work and she loves the damn thing ,22,1.0
neutral,this mouse would not connect to my compute despite multiple attempts following the instructions given as is typical of many amazon products this product is cheaply made and not worth wasting your money on would suggest avoiding making purchases from this brand in the future and strongly suggest not buying this mouse unless throwing money away on broken pieces of june that don work is past time of yours then knock yourself out ,73,1.0
neutral,bought the item and stroll button and left button stopped working after about months of use,16,1.0
neutral,very economic,2,5.0
positive,item worked fine for months and then no longer would turn on and yes it was fully charged of course it was past the return date so its basically june save your money and buy name brand,37,1.0
positive,the mouse is very slim but is so cheaply made don dare drop it or it going to break won by another one,23,1.0
positive, bought this mouse for my office to go with the theme and love it was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked great purchase ,39,4.0
neutral,these things stop working after few weeks got two and one it just refuses to charge or stay on the other the strolled fell very poorly made do not purchase ,30,1.0
positive,i like how slim it is and the colors are nice touch without being distracting clinking is responsive though the movement was little itchy for me sometimes my biggest complaint is that the us sticks out super far if you have to use the us adapted ,46,2.0
positive,i was super excited for this to come and it worked for about five minutes the only thing that worked was the us to type adapted ,26,1.0
neutral,i used it for month and then it stopped working ,10,1.0
positive,love the color love how it changes colors and love how it holds charge ,14,5.0
